time_s,avg_temp_K,max_temp_K,min_temp_K,sensor_0_K,sensor_0_err_K,sensor_1_K,sensor_1_err_K,sensor_2_K,sensor_2_err_K,sensor_3_K,sensor_3_err_K,sensor_4_K,sensor_4_err_K,sensor_5_K,sensor_5_err_K,sensor_6_K,sensor_6_err_K,sensor_7_K,sensor_7_err_K,sensor_8_K,sensor_8_err_K,sensor_9_K,sensor_9_err_K,sensor_10_K,sensor_10_err_K,sensor_11_K,sensor_11_err_K,sensor_12_K,sensor_12_err_K,sensor_13_K,sensor_13_err_K,sensor_14_K,sensor_14_err_K,sensor_15_K,sensor_15_err_K,sensor_16_K,sensor_16_err_K,sensor_17_K,sensor_17_err_K,sensor_18_K,sensor_18_err_K,sensor_19_K,sensor_19_err_K,sensor_20_K,sensor_20_err_K,sensor_21_K,sensor_21_err_K,sensor_22_K,sensor_22_err_K,sensor_23_K,sensor_23_err_K,sensor_24_K,sensor_24_err_K,sensor_25_K,sensor_25_err_K,sensor_26_K,sensor_26_err_K,sensor_27_K,sensor_27_err_K,sensor_28_K,sensor_28_err_K,sensor_29_K,sensor_29_err_K,sensor_30_K,sensor_30_err_K,sensor_31_K,sensor_31_err_K,sensor_32_K,sensor_32_err_K,sensor_33_K,sensor_33_err_K,sensor_34_K,sensor_34_err_K,sensor_35_K,sensor_35_err_K,sensor_36_K,sensor_36_err_K,sensor_37_K,sensor_37_err_K,sensor_38_K,sensor_38_err_K,sensor_39_K,sensor_39_err_K,sensor_40_K,sensor_40_err_K,sensor_41_K,sensor_41_err_K,sensor_42_K,sensor_42_err_K,sensor_43_K,sensor_43_err_K,sensor_44_K,sensor_44_err_K,sensor_45_K,sensor_45_err_K,sensor_46_K,sensor_46_err_K,sensor_47_K,sensor_47_err_K,sensor_48_K,sensor_48_err_K,sensor_49_K,sensor_49_err_K,sensor_50_K,sensor_50_err_K,sensor_51_K,sensor_51_err_K,sensor_52_K,sensor_52_err_K,sensor_53_K,sensor_53_err_K,sensor_54_K,sensor_54_err_K,sensor_55_K,sensor_55_err_K,sensor_56_K,sensor_56_err_K,sensor_57_K,sensor_57_err_K,sensor_58_K,sensor_58_err_K,sensor_59_K,sensor_59_err_K,sensor_60_K,sensor_60_err_K,sensor_61_K,sensor_61_err_K,sensor_62_K,sensor_62_err_K,sensor_63_K,sensor_63_err_K,sensor_64_K,sensor_64_err_K,sensor_65_K,sensor_65_err_K,sensor_66_K,sensor_66_err_K,sensor_67_K,sensor_67_err_K,sensor_68_K,sensor_68_err_K,sensor_69_K,sensor_69_err_K,sensor_70_K,sensor_70_err_K,sensor_71_K,sensor_71_err_K,rms_tracking_error_K,cryo_tip_K,power_in_W,power_out_W,energy_drift_rel
11,296.071,342.006,50.8084,293.15,-2.50111e-12,293.15,0,293.15,0,293.15,-2.27374e-13,293.15,5.68434e-14,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,-2.84217e-13,293.15,0,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,-4.3201e-12,293.15,-5.68434e-13,293.15,-1.36424e-12,293.15,-1.7053e-13,293.15,0,293.15,-1.02318e-12,293.15,-2.50111e-12,293.15,-2.84217e-13,293.15,5.68434e-14,293.15,-1.13687e-13,293.15,5.68434e-14,293.15,-5.11591e-13,293.15,-3.97904e-13,293.15,-5.68434e-14,293.15,0,293.15,-3.97904e-13,293.15,-1.13687e-13,293.15,-1.7053e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-5.68434e-14,293.15,-5.68434e-14,293.15,-1.13687e-13,293.15,-3.80851e-12,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,-1.25056e-12,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,-2.84217e-12,293.15,0,293.15,-2.84217e-13,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,0,293.15,0,293.15,0,293.15,-2.27374e-13,9.10703e-13,169.325,0,0,1
12,296.067,341.243,50.3917,293.15,-2.72848e-12,293.15,0,293.15,0,293.15,-2.27374e-13,293.15,5.68434e-14,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,-2.84217e-13,293.15,0,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,-4.718e-12,293.15,-5.68434e-13,293.15,-1.36424e-12,293.15,-1.7053e-13,293.15,0,293.15,-1.02318e-12,293.15,-2.50111e-12,293.15,-2.84217e-13,293.15,5.68434e-14,293.15,-1.13687e-13,293.15,5.68434e-14,293.15,-5.11591e-13,293.15,-3.97904e-13,293.15,-5.68434e-14,293.15,0,293.15,-3.97904e-13,293.15,-1.13687e-13,293.15,-1.7053e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-5.68434e-14,293.15,-5.68434e-14,293.15,-1.13687e-13,293.15,-4.20641e-12,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,-1.25056e-12,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,-3.06954e-12,293.15,0,293.15,-2.84217e-13,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,0,293.15,0,293.15,0,293.15,-2.27374e-13,9.79186e-13,165.728,0,0,1
13,296.062,340.501,50.0011,293.15,-2.95586e-12,293.15,0,293.15,0,293.15,-2.27374e-13,293.15,5.68434e-14,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,-2.84217e-13,293.15,0,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,-5.11591e-12,293.15,-5.68434e-13,293.15,-1.36424e-12,293.15,-1.7053e-13,293.15,0,293.15,-1.02318e-12,293.15,-2.50111e-12,293.15,-2.84217e-13,293.15,5.68434e-14,293.15,-1.13687e-13,293.15,5.68434e-14,293.15,-5.11591e-13,293.15,-3.97904e-13,293.15,-5.68434e-14,293.15,0,293.15,-3.97904e-13,293.15,-1.13687e-13,293.15,-1.7053e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-5.68434e-14,293.15,-5.68434e-14,293.15,-1.13687e-13,293.15,-4.60432e-12,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,-1.25056e-12,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,-3.41061e-12,293.15,0,293.15,-2.84217e-13,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,0,293.15,0,293.15,0,293.15,-2.27374e-13,1.0538e-12,162.401,0,0,1
14,296.058,339.782,49.6333,293.15,-3.18323e-12,293.15,0,293.15,0,293.15,-2.27374e-13,293.15,5.68434e-14,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,-2.84217e-13,293.15,0,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,-5.57066e-12,293.15,-5.68434e-13,293.15,-1.36424e-12,293.15,-1.7053e-13,293.15,0,293.15,-1.02318e-12,293.15,-2.50111e-12,293.15,-2.84217e-13,293.15,5.68434e-14,293.15,-1.13687e-13,293.15,5.68434e-14,293.15,-5.11591e-13,293.15,-3.97904e-13,293.15,-5.68434e-14,293.15,0,293.15,-3.97904e-13,293.15,-1.13687e-13,293.15,-1.7053e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-5.68434e-14,293.15,-5.68434e-14,293.15,-1.13687e-13,293.15,-4.88853e-12,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,-1.25056e-12,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,-3.75167e-12,293.15,0,293.15,-2.84217e-13,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,0,293.15,0,293.15,0,293.15,-2.27374e-13,1.1264e-12,159.295,0,0,1
15,296.054,339.082,49.2854,293.15,-3.41061e-12,293.15,0,293.15,0,293.15,-2.27374e-13,293.15,5.68434e-14,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,-2.84217e-13,293.15,0,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,-5.91172e-12,293.15,-5.68434e-13,293.15,-1.36424e-12,293.15,-1.7053e-13,293.15,0,293.15,-1.02318e-12,293.15,-2.50111e-12,293.15,-2.84217e-13,293.15,5.68434e-14,293.15,-1.13687e-13,293.15,5.68434e-14,293.15,-5.11591e-13,293.15,-3.97904e-13,293.15,-5.68434e-14,293.15,0,293.15,-3.97904e-13,293.15,-1.13687e-13,293.15,-1.7053e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-5.68434e-14,293.15,-5.68434e-14,293.15,-1.13687e-13,293.15,-5.17275e-12,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,-1.25056e-12,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,-3.97904e-12,293.15,0,293.15,-2.84217e-13,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,0,293.15,0,293.15,0,293.15,-2.27374e-13,1.18664e-12,156.378,0,0,1
16,296.05,338.402,48.9552,293.15,-3.63798e-12,293.15,0,293.15,0,293.15,-2.27374e-13,293.15,5.68434e-14,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,-2.84217e-13,293.15,0,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,-6.30962e-12,293.15,-5.68434e-13,293.15,-1.36424e-12,293.15,-1.7053e-13,293.15,0,293.15,-1.02318e-12,293.15,-2.50111e-12,293.15,-2.84217e-13,293.15,5.68434e-14,293.15,-1.13687e-13,293.15,5.68434e-14,293.15,-5.11591e-13,293.15,-3.97904e-13,293.15,-5.68434e-14,293.15,0,293.15,-3.97904e-13,293.15,-1.13687e-13,293.15,-1.7053e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-5.68434e-14,293.15,-5.68434e-14,293.15,-1.13687e-13,293.15,-5.45697e-12,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,-1.25056e-12,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,-4.20641e-12,293.15,0,293.15,-2.84217e-13,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,0,293.15,0,293.15,0,293.15,-2.27374e-13,1.25129e-12,153.621,0,0,1
17,296.046,337.743,48.6408,293.15,-3.86535e-12,293.15,0,293.15,0,293.15,-2.27374e-13,293.15,5.68434e-14,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,-2.84217e-13,293.15,0,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,-6.65068e-12,293.15,-5.68434e-13,293.15,-1.36424e-12,293.15,-1.7053e-13,293.15,0,293.15,-1.02318e-12,293.15,-2.50111e-12,293.15,-2.84217e-13,293.15,5.68434e-14,293.15,-1.13687e-13,293.15,5.68434e-14,293.15,-5.11591e-13,293.15,-3.97904e-13,293.15,-5.68434e-14,293.15,0,293.15,-3.97904e-13,293.15,-1.13687e-13,293.15,-1.7053e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-5.68434e-14,293.15,-5.68434e-14,293.15,-1.13687e-13,293.15,-5.68434e-12,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,-1.25056e-12,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,-4.43379e-12,293.15,0,293.15,-2.84217e-13,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,0,293.15,0,293.15,0,293.15,-2.27374e-13,1.30893e-12,151.003,0,0,1
18,296.042,337.103,48.3407,293.15,-4.09273e-12,293.15,0,293.15,0,293.15,-2.27374e-13,293.15,5.68434e-14,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,-2.84217e-13,293.15,0,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,-7.04858e-12,293.15,-5.68434e-13,293.15,-1.36424e-12,293.15,-1.7053e-13,293.15,0,293.15,-1.02318e-12,293.15,-2.50111e-12,293.15,-2.84217e-13,293.15,5.68434e-14,293.15,-1.13687e-13,293.15,5.68434e-14,293.15,-5.11591e-13,293.15,-3.97904e-13,293.15,-5.68434e-14,293.15,0,293.15,-3.97904e-13,293.15,-1.13687e-13,293.15,-1.7053e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-5.68434e-14,293.15,-5.68434e-14,293.15,-1.13687e-13,293.15,-6.0254e-12,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,-1.25056e-12,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,-4.66116e-12,293.15,0,293.15,-2.84217e-13,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,0,293.15,0,293.15,0,293.15,-2.27374e-13,1.37779e-12,148.508,0,0,1
19,296.038,336.483,48.0537,293.15,-4.14957e-12,293.15,0,293.15,0,293.15,-2.27374e-13,293.15,5.68434e-14,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,-2.84217e-13,293.15,0,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,-7.44649e-12,293.15,-5.68434e-13,293.15,-1.36424e-12,293.15,-1.7053e-13,293.15,0,293.15,-1.02318e-12,293.15,-2.50111e-12,293.15,-2.84217e-13,293.15,5.68434e-14,293.15,-1.13687e-13,293.15,5.68434e-14,293.15,-5.11591e-13,293.15,-3.97904e-13,293.15,-5.68434e-14,293.15,0,293.15,-3.97904e-13,293.15,-1.13687e-13,293.15,-1.7053e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-5.68434e-14,293.15,-5.68434e-14,293.15,-1.13687e-13,293.15,-6.42331e-12,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,-1.25056e-12,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,-5.05906e-12,293.15,0,293.15,-2.84217e-13,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,0,293.15,0,293.15,0,293.15,-2.27374e-13,1.4517e-12,146.123,0,0,1
20,296.034,335.882,47.7785,293.15,-4.14957e-12,293.15,0,293.15,0,293.15,-2.27374e-13,293.15,5.68434e-14,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,-2.84217e-13,293.15,0,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,-7.90124e-12,293.15,-5.68434e-13,293.15,-1.36424e-12,293.15,-1.7053e-13,293.15,0,293.15,-1.02318e-12,293.15,-2.50111e-12,293.15,-2.84217e-13,293.15,5.68434e-14,293.15,-1.13687e-13,293.15,5.68434e-14,293.15,-5.11591e-13,293.15,-3.97904e-13,293.15,-5.68434e-14,293.15,0,293.15,-3.97904e-13,293.15,-1.13687e-13,293.15,-1.7053e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-1.7053e-13,293.15,0,293.15,-5.68434e-14,293.15,-5.68434e-14,293.15,-1.13687e-13,293.15,-6.82121e-12,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,-1.25056e-12,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,0,293.15,0,293.15,0,293.15,-1.13687e-13,293.15,0,293.15,0,293.15,-5.40012e-12,293.15,0,293.15,-2.84217e-13,293.15,0,293.15,-5.68434e-14,293.15,5.68434e-14,293.15,0,293.15,0,293.15,0,293.15,-2.27374e-13,1.52549e-12,143.836,0,0,1
